Область,Ранг,Година,"Частота,%",Спостережень
Cherkaska oblast,1,00:00,6.1,302
Cherkaska oblast,2,21:00,5.8,284
Cherkaska oblast,3,12:00,5.7,278
Vinnytska oblast,1,00:00,7.2,214
Vinnytska oblast,2,01:00,6.8,202
Vinnytska oblast,3,23:00,5.6,166
Kyivska oblast,1,00:00,6.4,248
Kyivska oblast,2,23:00,6.3,244
Kyivska oblast,3,21:00,6.2,242
Zhytomyrska oblast,1,00:00,7.4,216
Zhytomyrska oblast,2,23:00,5.9,174
Zhytomyrska oblast,3,01:00,5.4,158
Odeska oblast,1,01:00,5.8,280
Odeska oblast,2,00:00,5.8,278
Odeska oblast,3,23:00,5.7,276
Khmelnytska oblast,1,01:00,9.3,192
Khmelnytska oblast,2,23:00,5.9,122
Khmelnytska oblast,3,00:00,5.7,118
Donetska oblast,1,09:00,8.2,1128
Donetska oblast,2,15:00,6.5,894
Donetska oblast,3,14:00,6.2,846
Zaporizka oblast,1,10:00,6.1,814
Zaporizka oblast,2,11:00,6.0,804
Zaporizka oblast,3,12:00,5.7,764
Dnipropetrovska oblast,1,10:00,5.9,652
Dnipropetrovska oblast,2,12:00,5.8,642
Dnipropetrovska oblast,3,11:00,5.6,622
Poltavska oblast,1,12:00,5.9,474
Poltavska oblast,2,11:00,5.7,456
Poltavska oblast,3,13:00,5.7,456
Rivnenska oblast,1,12:00,5.9,106
Rivnenska oblast,2,13:00,5.9,106
Rivnenska oblast,3,02:00,5.7,102
Volynska oblast,1,12:00,6.4,102
Volynska oblast,2,13:00,6.4,102
Volynska oblast,3,11:00,6.1,98
Lvivska oblast,1,13:00,6.6,98
Lvivska oblast,2,12:00,6.3,94
Lvivska oblast,3,11:00,6.2,92
Chernivetska oblast,1,13:00,6.6,98
Chernivetska oblast,2,12:00,6.0,90
Chernivetska oblast,3,09:00,5.5,82
Ivano-Frankivska oblast,1,13:00,7.3,108
Ivano-Frankivska oblast,2,12:00,6.1,90
Ivano-Frankivska oblast,3,03:00,5.9,88
Ternopilska oblast,1,13:00,6.2,104
Ternopilska oblast,2,02:00,6.1,102
Ternopilska oblast,3,11:00,5.6,94
Zakarpatska oblast,1,13:00,7.1,94
Zakarpatska oblast,2,09:00,6.5,86
Zakarpatska oblast,3,12:00,6.3,84
Kharkivska oblast,1,14:00,6.2,800
Kharkivska oblast,2,21:00,5.7,744
Kharkivska oblast,3,09:00,5.5,710
Sumska oblast,1,14:00,7.0,570
Sumska oblast,2,09:00,6.9,564
Sumska oblast,3,12:00,6.3,510
Kirovohradska oblast,1,21:00,6.1,406
Kirovohradska oblast,2,23:00,6.0,400
Kirovohradska oblast,3,13:00,5.3,352
Chernihivska oblast,1,21:00,6.1,308
Chernihivska oblast,2,20:00,6.1,306
Chernihivska oblast,3,12:00,5.7,288
Khersonska oblast,1,22:00,6.1,438
Khersonska oblast,2,21:00,6.0,432
Khersonska oblast,3,13:00,5.8,418
Mykolaivska oblast,1,22:00,6.3,464
Mykolaivska oblast,2,23:00,5.7,420
Mykolaivska oblast,3,21:00,5.7,416
Kyiv City,1,23:00,6.3,243
Kyiv City,2,00:00,5.9,226
Kyiv City,3,01:00,5.5,211
